MissingRate,OT-Impute,OT-Rand,Batch-Impute,BatchOpt-Impute
10,0.2564700826506968,0.23186087306126443,0.2110844874078913,0.22397592274901384
20,0.2625973372069226,0.23705760474049797,0.2188350418828075,0.22980484063462006
30,0.2643363298815678,0.23697724867770953,0.2202826234145642,0.23022252358140602
40,0.271093302437401,0.24430277191256597,0.22702013755922087,0.23262354638181637
50,0.2728768640073185,0.24641976442280178,0.2340093182881643,0.23790401091523286
60,0.27733491086471745,0.24997608482283953,0.2394542905903604,0.2404653186429319
70,0.27895940954682025,0.25001286834154374,0.23991621901440627,0.24170006396607158
80,0.27439993860327416,0.24607097943127915,0.23749726924829628,0.23846327429514935
