MissingRate,Batch-Impute,BatchOpt-Impute
10,387.8734471797943,67.89205932617188
20,241.02278685569763,48.785292625427246
30,234.1501021385193,57.655945777893066
40,266.0913507938385,71.93443560600281
50,324.6823031902313,91.71294665336609
60,283.5108742713928,71.78685092926025
70,287.6297471523285,84.17900896072388
80,293.5523326396942,79.66878962516785
