Run,MissingRate(%),Method,MAE
3,80,Batch-Impute,0.1341
4,10,Mean,0.1354
4,10,KNN,0.1141
4,10,MICE,0.1124
4,10,OT-Impute,0.1558
4,10,OT-Rand,0.14
4,10,Batch-Impute,0.1116
4,20,Mean,0.138
4,20,KNN,0.128
4,20,MICE,0.1174
4,20,OT-Impute,0.1608
4,20,OT-Rand,0.1449
4,20,Batch-Impute,0.1187
4,30,Mean,0.1389
4,30,KNN,0.1255
4,30,MICE,0.1279
4,30,OT-Impute,0.1639
4,30,OT-Rand,0.1472
4,30,Batch-Impute,0.122
4,40,Mean,0.1406
4,40,KNN,0.1161
4,40,MICE,0.1298
4,40,OT-Impute,0.1672
4,40,OT-Rand,0.1503
4,40,Batch-Impute,0.126
4,50,Mean,0.1416
4,50,KNN,0.1072
4,50,MICE,0.1424
4,50,OT-Impute,0.1699
4,50,OT-Rand,0.153
4,50,Batch-Impute,0.129
4,60,Mean,0.1421
4,60,KNN,0.1031
4,60,MICE,0.1422
4,60,OT-Impute,0.1719
4,60,OT-Rand,0.1545
4,60,Batch-Impute,0.1316
4,70,Mean,0.1411
4,70,KNN,0.099
4,70,MICE,0.1426
4,70,OT-Impute,0.1727
4,70,OT-Rand,0.1554
4,70,Batch-Impute,0.1328
4,80,Mean,0.1395
4,80,KNN,0.1028
4,80,MICE,0.139
4,80,OT-Impute,0.1735
4,80,OT-Rand,0.1562
4,80,Batch-Impute,0.1341
