Run,MissingRate(%),Method,MAE
3,80,OT-Rand,0.2486
3,80,Batch-Impute,0.2373
4,10,Mean,0.2832
4,10,KNN,0.2718
4,10,MICE,0.2576
4,10,OT-Impute,0.2624
4,10,OT-Rand,0.2348
4,10,Batch-Impute,0.2124
4,20,Mean,0.2829
4,20,KNN,0.272
4,20,MICE,0.2596
4,20,OT-Impute,0.2632
4,20,OT-Rand,0.2415
4,20,Batch-Impute,0.2213
4,30,Mean,0.2795
4,30,KNN,0.2746
4,30,MICE,0.2894
4,30,OT-Impute,0.264
4,30,OT-Rand,0.2385
4,30,Batch-Impute,0.2205
4,40,Mean,0.2791
4,40,KNN,0.2802
4,40,MICE,0.2743
4,40,OT-Impute,0.2682
4,40,OT-Rand,0.2424
4,40,Batch-Impute,0.2261
4,50,Mean,0.2797
4,50,KNN,0.2855
4,50,MICE,0.2796
4,50,OT-Impute,0.2738
4,50,OT-Rand,0.2479
4,50,Batch-Impute,0.2331
4,60,Mean,0.2794
4,60,KNN,0.2857
4,60,MICE,0.2808
4,60,OT-Impute,0.2772
4,60,OT-Rand,0.2507
4,60,Batch-Impute,0.2383
4,70,Mean,0.2776
4,70,KNN,0.2883
4,70,MICE,0.2837
4,70,OT-Impute,0.2796
4,70,OT-Rand,0.2525
4,70,Batch-Impute,0.2399
4,80,Mean,0.2757
4,80,KNN,0.2822
4,80,MICE,0.2804
4,80,OT-Impute,0.2746
4,80,OT-Rand,0.2471
4,80,Batch-Impute,0.2366
