MissingRate,OT-Impute,OT-Rand,Batch-Impute,BatchOpt-Impute
10,0.1926193615749504,0.1734224107863642,0.14798154903185823,0.16908855462381273
20,0.20042562027505836,0.18041243035181748,0.1572898111085921,0.17669803294724284
30,0.209644793606285,0.1887313249031277,0.16821712484783397,0.1852192143067714
40,0.21981845280372345,0.19785418448476752,0.17912171456503553,0.1952698369540722
50,0.23119539332295905,0.20812262155150707,0.1913570870785348,0.20547034971715541
60,0.24281869094490321,0.21850389296126366,0.20279469110412832,0.2158877033213905
70,0.2545473927587086,0.22902295693246774,0.2137156918811975,0.22624808190178408
80,0.26192553871825924,0.23595898252524833,0.2197037298984693,0.2330794819341809
