Run,MissingRate(%),Method,MAE
3,80,Batch-Impute,0.1344
4,10,Mean,0.1595
4,10,KNN,0.1056
4,10,MICE,0.1083
4,10,OT-Impute,0.1087
4,10,OT-Rand,0.0965
4,10,Batch-Impute,0.0879
4,20,Mean,0.1692
4,20,KNN,0.1134
4,20,MICE,0.1157
4,20,OT-Impute,0.1176
4,20,OT-Rand,0.1058
4,20,Batch-Impute,0.096
4,30,Mean,0.1625
4,30,KNN,0.1087
4,30,MICE,0.1241
4,30,OT-Impute,0.1094
4,30,OT-Rand,0.1017
4,30,Batch-Impute,0.0856
4,40,Mean,0.1699
4,40,KNN,0.1352
4,40,MICE,0.1392
4,40,OT-Impute,0.1237
4,40,OT-Rand,0.1094
4,40,Batch-Impute,0.1051
4,50,Mean,0.1701
4,50,KNN,0.1412
4,50,MICE,0.1356
4,50,OT-Impute,0.1345
4,50,OT-Rand,0.1139
4,50,Batch-Impute,0.102
4,60,Mean,0.1651
4,60,KNN,0.1418
4,60,MICE,0.1465
4,60,OT-Impute,0.1343
4,60,OT-Rand,0.1196
4,60,Batch-Impute,0.1063
4,70,Mean,0.1664
4,70,KNN,0.152
4,70,MICE,0.1532
4,70,OT-Impute,0.1487
4,70,OT-Rand,0.1294
4,70,Batch-Impute,0.1184
4,80,Mean,0.1675
4,80,KNN,0.1614
4,80,MICE,0.1751
4,80,OT-Impute,0.1683
4,80,OT-Rand,0.1486
4,80,Batch-Impute,0.135
