MissingRate,OT-Impute,OT-Rand,Batch-Impute,BatchOpt-Impute
10,0.2333682958908959,0.21053545506748755,0.18864667238969082,0.19917893019029112
20,0.226834048609355,0.20513840679009865,0.18683827283630744,0.196366276927368
30,0.22460253247468526,0.20001913812355795,0.1839158788703022,0.19259845743402138
40,0.22894939123284544,0.2068922492731206,0.18672391208163946,0.19465129679887502
50,0.23077043260932295,0.20815694404486457,0.18925434337221314,0.19401182420634067
60,0.23604932686620228,0.2123912764462234,0.1957815544389093,0.20339127896167256
70,0.23601094913935924,0.21231088341417562,0.1968409333753475,0.20191586183954816
80,0.23629289007019694,0.21268086642653533,0.2005328916407334,0.20533260307749748
