Run,MissingRate(%),Method,MAE
3,80,OT-Rand,0.121
3,80,Batch-Impute,0.1071
4,10,Mean,0.1177
4,10,KNN,0.1034
4,10,MICE,0.0934
4,10,OT-Impute,0.1025
4,10,OT-Rand,0.0869
4,10,Batch-Impute,0.0761
4,20,Mean,0.1195
4,20,KNN,0.1171
4,20,MICE,0.1048
4,20,OT-Impute,0.1063
4,20,OT-Rand,0.0949
4,20,Batch-Impute,0.0837
4,30,Mean,0.1186
4,30,KNN,0.1314
4,30,MICE,0.1259
4,30,OT-Impute,0.1105
4,30,OT-Rand,0.0955
4,30,Batch-Impute,0.0883
4,40,Mean,0.1212
4,40,KNN,0.1336
4,40,MICE,0.1298
4,40,OT-Impute,0.112
4,40,OT-Rand,0.1021
4,40,Batch-Impute,0.0908
4,50,Mean,0.1219
4,50,KNN,0.1338
4,50,MICE,0.1254
4,50,OT-Impute,0.1157
4,50,OT-Rand,0.1043
4,50,Batch-Impute,0.0923
4,60,Mean,0.1241
4,60,KNN,0.1259
4,60,MICE,0.1233
4,60,OT-Impute,0.1229
4,60,OT-Rand,0.1103
4,60,Batch-Impute,0.0977
4,70,Mean,0.1246
4,70,KNN,0.1225
4,70,MICE,0.1257
4,70,OT-Impute,0.1259
4,70,OT-Rand,0.1156
4,70,Batch-Impute,0.1016
4,80,Mean,0.1252
4,80,KNN,0.1188
4,80,MICE,0.1301
4,80,OT-Impute,0.1368
4,80,OT-Rand,0.122
4,80,Batch-Impute,0.11
