Run,MissingRate(%),Method,MAE
3,80,Batch-Impute,0.204
4,10,Mean,0.2471
4,10,KNN,0.2317
4,10,MICE,0.2234
4,10,OT-Impute,0.221
4,10,OT-Rand,0.1988
4,10,Batch-Impute,0.1784
4,20,Mean,0.248
4,20,KNN,0.2416
4,20,MICE,0.2308
4,20,OT-Impute,0.2277
4,20,OT-Rand,0.2063
4,20,Batch-Impute,0.1833
4,30,Mean,0.2472
4,30,KNN,0.2394
4,30,MICE,0.2679
4,30,OT-Impute,0.2301
4,30,OT-Rand,0.2078
4,30,Batch-Impute,0.1883
4,40,Mean,0.2447
4,40,KNN,0.246
4,40,MICE,0.2595
4,40,OT-Impute,0.2292
4,40,OT-Rand,0.2043
4,40,Batch-Impute,0.1872
4,50,Mean,0.2457
4,50,KNN,0.2509
4,50,MICE,0.2537
4,50,OT-Impute,0.2325
4,50,OT-Rand,0.208
4,50,Batch-Impute,0.1894
4,60,Mean,0.2453
4,60,KNN,0.2578
4,60,MICE,0.2507
4,60,OT-Impute,0.2328
4,60,OT-Rand,0.2116
4,60,Batch-Impute,0.1933
4,70,Mean,0.2456
4,70,KNN,0.2534
4,70,MICE,0.2485
4,70,OT-Impute,0.2342
4,70,OT-Rand,0.2123
4,70,Batch-Impute,0.1955
4,80,Mean,0.2451
4,80,KNN,0.2547
4,80,MICE,0.2573
4,80,OT-Impute,0.24
4,80,OT-Rand,0.2144
4,80,Batch-Impute,0.2014
