Run,MissingRate(%),Method,MAE
3,80,OT-Rand,0.1705
3,80,Batch-Impute,0.1504
4,10,Mean,0.1537
4,10,KNN,0.1126
4,10,MICE,0.1327
4,10,OT-Impute,0.1666
4,10,OT-Rand,0.15
4,10,Batch-Impute,0.1255
4,20,Mean,0.1549
4,20,KNN,0.1347
4,20,MICE,0.1363
4,20,OT-Impute,0.1705
4,20,OT-Rand,0.1535
4,20,Batch-Impute,0.1299
4,30,Mean,0.1561
4,30,KNN,0.1538
4,30,MICE,0.1657
4,30,OT-Impute,0.174
4,30,OT-Rand,0.1562
4,30,Batch-Impute,0.134
4,40,Mean,0.1573
4,40,KNN,0.1669
4,40,MICE,0.1572
4,40,OT-Impute,0.1767
4,40,OT-Rand,0.1595
4,40,Batch-Impute,0.1367
4,50,Mean,0.1594
4,50,KNN,0.1743
4,50,MICE,0.1607
4,50,OT-Impute,0.1804
4,50,OT-Rand,0.1622
4,50,Batch-Impute,0.1406
4,60,Mean,0.1609
4,60,KNN,0.1746
4,60,MICE,0.1611
4,60,OT-Impute,0.1835
4,60,OT-Rand,0.165
4,60,Batch-Impute,0.144
4,70,Mean,0.1628
4,70,KNN,0.1734
4,70,MICE,0.1652
4,70,OT-Impute,0.1868
4,70,OT-Rand,0.168
4,70,Batch-Impute,0.1475
4,80,Mean,0.1637
4,80,KNN,0.1643
4,80,MICE,0.1661
4,80,OT-Impute,0.1891
4,80,OT-Rand,0.1702
4,80,Batch-Impute,0.1503
