Run,MissingRate(%),Method,MAE
3,80,OT-Rand,0.1487
3,80,Batch-Impute,0.1436
4,10,Mean,0.1329
4,10,KNN,0.1196
4,10,MICE,0.1162
4,10,OT-Impute,0.1312
4,10,OT-Rand,0.1158
4,10,Batch-Impute,0.1051
4,20,Mean,0.1364
4,20,KNN,0.1269
4,20,MICE,0.1195
4,20,OT-Impute,0.1359
4,20,OT-Rand,0.1218
4,20,Batch-Impute,0.1103
4,30,Mean,0.1415
4,30,KNN,0.1369
4,30,MICE,0.1352
4,30,OT-Impute,0.1396
4,30,OT-Rand,0.1272
4,30,Batch-Impute,0.115
4,40,Mean,0.1476
4,40,KNN,0.1438
4,40,MICE,0.1434
4,40,OT-Impute,0.1503
4,40,OT-Rand,0.1382
4,40,Batch-Impute,0.1241
4,50,Mean,0.1546
4,50,KNN,0.1539
4,50,MICE,0.1476
4,50,OT-Impute,0.1618
4,50,OT-Rand,0.1432
4,50,Batch-Impute,0.1321
4,60,Mean,0.1638
4,60,KNN,0.1613
4,60,MICE,0.1558
4,60,OT-Impute,0.1694
4,60,OT-Rand,0.1509
4,60,Batch-Impute,0.143
4,70,Mean,0.1663
4,70,KNN,0.1679
4,70,MICE,0.1645
4,70,OT-Impute,0.1719
4,70,OT-Rand,0.1548
4,70,Batch-Impute,0.1489
4,80,Mean,0.163
4,80,KNN,0.1623
4,80,MICE,0.1635
4,80,OT-Impute,0.165
4,80,OT-Rand,0.1496
4,80,Batch-Impute,0.1439
