MissingRate,OT-Impute,OT-Rand,Batch-Impute,BatchOpt-Impute
10,0.10191015082986712,0.09046341927985409,0.08132012951988227,0.08853431642985901
20,0.1189755604407499,0.10951702485525058,0.0982977593477689,0.10596974195331424
30,0.11200497485673667,0.10062509743677427,0.09928254328460007,0.10453201936124745
40,0.12929976268777083,0.11689535617969059,0.10397350074642162,0.11218170096261935
50,0.13257398876723095,0.11906247148684936,0.11175073995566144,0.12113185276721616
60,0.1506482402670478,0.13649053166960468,0.12228914138587549,0.13562545701669157
70,0.16343615123142652,0.14638020197548995,0.14485999166149632,0.1511911735946742
80,0.1947583789483287,0.17516070873848483,0.15786521387017521,0.1583564760555011
