MissingRate,OT-Impute,OT-Rand,Batch-Impute,BatchOpt-Impute
10,0.1079125909266933,0.09737941009965302,0.0926176686050425,0.09371073619556268
20,0.10187442370117812,0.09305627934234602,0.08315320425549536,0.08862930421872088
30,0.12009505905831297,0.10597362132069287,0.09846808128445877,0.10158770977264674
40,0.114134833726972,0.103502761675064,0.09693298493846896,0.10003330059069493
50,0.12067242205722847,0.1087077702711763,0.10083531535646095,0.10774629068496284
60,0.1329193609945224,0.11848792634515942,0.11075039909673011,0.12454406991429079
70,0.151608729958812,0.13595740609559678,0.12471713900656861,0.13299748849302018
80,0.15887290995298164,0.14328785296260566,0.12779355357793554,0.14223066631531384
