Run,MissingRate(%),Method,MAE
3,80,Batch-Impute,0.2195
4,10,Mean,0.1746
4,10,KNN,0.1357
4,10,MICE,0.1533
4,10,OT-Impute,0.1927
4,10,OT-Rand,0.1726
4,10,Batch-Impute,0.1476
4,20,Mean,0.1818
4,20,KNN,0.1624
4,20,MICE,0.161
4,20,OT-Impute,0.2001
4,20,OT-Rand,0.1798
4,20,Batch-Impute,0.1572
4,30,Mean,0.1911
4,30,KNN,0.1832
4,30,MICE,0.1933
4,30,OT-Impute,0.2097
4,30,OT-Rand,0.189
4,30,Batch-Impute,0.1679
4,40,Mean,0.2009
4,40,KNN,0.1989
4,40,MICE,0.1933
4,40,OT-Impute,0.22
4,40,OT-Rand,0.1978
4,40,Batch-Impute,0.1792
4,50,Mean,0.2125
4,50,KNN,0.2159
4,50,MICE,0.2038
4,50,OT-Impute,0.2315
4,50,OT-Rand,0.2085
4,50,Batch-Impute,0.1912
4,60,Mean,0.223
4,60,KNN,0.2229
4,60,MICE,0.2177
4,60,OT-Impute,0.2427
4,60,OT-Rand,0.2183
4,60,Batch-Impute,0.2028
4,70,Mean,0.2323
4,70,KNN,0.2277
4,70,MICE,0.2334
4,70,OT-Impute,0.2546
4,70,OT-Rand,0.229
4,70,Batch-Impute,0.2138
4,80,Mean,0.2363
4,80,KNN,0.2377
4,80,MICE,0.2398
4,80,OT-Impute,0.2621
4,80,OT-Rand,0.2356
4,80,Batch-Impute,0.2195
