Run,MissingRate(%),Method,MAE
3,80,Batch-Impute,0.1728
4,10,Mean,0.1322
4,10,KNN,0.104
4,10,MICE,0.1094
4,10,OT-Impute,0.1517
4,10,OT-Rand,0.1366
4,10,Batch-Impute,0.1096
4,20,Mean,0.141
4,20,KNN,0.1293
4,20,MICE,0.1186
4,20,OT-Impute,0.1621
4,20,OT-Rand,0.1467
4,20,Batch-Impute,0.1194
4,30,Mean,0.1497
4,30,KNN,0.1414
4,30,MICE,0.133
4,30,OT-Impute,0.1724
4,30,OT-Rand,0.1549
4,30,Batch-Impute,0.1297
4,40,Mean,0.1593
4,40,KNN,0.1515
4,40,MICE,0.1409
4,40,OT-Impute,0.1832
4,40,OT-Rand,0.1645
4,40,Batch-Impute,0.1407
4,50,Mean,0.1699
4,50,KNN,0.1573
4,50,MICE,0.1532
4,50,OT-Impute,0.1943
4,50,OT-Rand,0.1754
4,50,Batch-Impute,0.1522
4,60,Mean,0.1805
4,60,KNN,0.1639
4,60,MICE,0.1663
4,60,OT-Impute,0.2062
4,60,OT-Rand,0.1856
4,60,Batch-Impute,0.1643
4,70,Mean,0.1853
4,70,KNN,0.1695
4,70,MICE,0.1774
4,70,OT-Impute,0.2124
4,70,OT-Rand,0.1908
4,70,Batch-Impute,0.1708
4,80,Mean,0.1848
4,80,KNN,0.1739
4,80,MICE,0.1821
4,80,OT-Impute,0.214
4,80,OT-Rand,0.1926
4,80,Batch-Impute,0.1728
