MissingRate,OT-Impute,OT-Rand,Batch-Impute,BatchOpt-Impute
10,0.15258302109552385,0.13748872683023616,0.10919410435992642,0.13490866668395687
20,0.16207314462982708,0.14589758962730898,0.11998865125155536,0.1440287641709493
30,0.1722565843564895,0.15505064935399993,0.1297426470110362,0.15247214233580342
40,0.18324266016796975,0.16482583415091023,0.14062468682554802,0.16134233547010404
50,0.19460683385365887,0.17492730608606086,0.15226800037729446,0.1710716942192261
60,0.20607984803361754,0.18557853338192648,0.164267978524286,0.18129833316006694
70,0.21228028657148484,0.19105034868324075,0.17089634139874432,0.18676510502641822
80,0.21433889289337596,0.19296008948083493,0.17295724592243725,0.1883449735981516
