Run,MissingRate(%),Method,MAE
3,80,Batch-Impute,0.1452
4,10,Mean,0.1577
4,10,KNN,0.1178
4,10,MICE,0.1387
4,10,OT-Impute,0.1716
4,10,OT-Rand,0.1554
4,10,Batch-Impute,0.1297
4,20,Mean,0.1581
4,20,KNN,0.1347
4,20,MICE,0.1407
4,20,OT-Impute,0.1741
4,20,OT-Rand,0.1569
4,20,Batch-Impute,0.1325
4,30,Mean,0.1582
4,30,KNN,0.146
4,30,MICE,0.173
4,30,OT-Impute,0.1764
4,30,OT-Rand,0.1586
4,30,Batch-Impute,0.1353
4,40,Mean,0.1578
4,40,KNN,0.1531
4,40,MICE,0.1638
4,40,OT-Impute,0.178
4,40,OT-Rand,0.16
4,40,Batch-Impute,0.1371
4,50,Mean,0.1576
4,50,KNN,0.1568
4,50,MICE,0.1604
4,50,OT-Impute,0.1791
4,50,OT-Rand,0.1613
4,50,Batch-Impute,0.1389
4,60,Mean,0.1582
4,60,KNN,0.1608
4,60,MICE,0.1586
4,60,OT-Impute,0.1813
4,60,OT-Rand,0.1633
4,60,Batch-Impute,0.1415
4,70,Mean,0.1579
4,70,KNN,0.1596
4,70,MICE,0.1603
4,70,OT-Impute,0.1834
4,70,OT-Rand,0.1647
4,70,Batch-Impute,0.143
4,80,Mean,0.1578
4,80,KNN,0.1601
4,80,MICE,0.1598
4,80,OT-Impute,0.1849
4,80,OT-Rand,0.1663
4,80,Batch-Impute,0.1453
