Run,MissingRate(%),Method,MAE
3,80,OT-Rand,0.1968
3,80,Batch-Impute,0.2005
4,10,Mean,0.1647
4,10,KNN,0.1044
4,10,MICE,0.1076
4,10,OT-Impute,0.1088
4,10,OT-Rand,0.0952
4,10,Batch-Impute,0.0941
4,20,Mean,0.1739
4,20,KNN,0.1102
4,20,MICE,0.1123
4,20,OT-Impute,0.1062
4,20,OT-Rand,0.0967
4,20,Batch-Impute,0.0923
4,30,Mean,0.1836
4,30,KNN,0.1254
4,30,MICE,0.1333
4,30,OT-Impute,0.1195
4,30,OT-Rand,0.1051
4,30,Batch-Impute,0.101
4,40,Mean,0.1931
4,40,KNN,0.1406
4,40,MICE,0.1413
4,40,OT-Impute,0.1285
4,40,OT-Rand,0.1182
4,40,Batch-Impute,0.1082
4,50,Mean,0.2122
4,50,KNN,0.1747
4,50,MICE,0.1528
4,50,OT-Impute,0.1493
4,50,OT-Rand,0.1332
4,50,Batch-Impute,0.1281
4,60,Mean,0.2285
4,60,KNN,0.2002
4,60,MICE,0.1841
4,60,OT-Impute,0.1716
4,60,OT-Rand,0.1628
4,60,Batch-Impute,0.1507
4,70,Mean,0.2371
4,70,KNN,0.2195
4,70,MICE,0.22
4,70,OT-Impute,0.2182
4,70,OT-Rand,0.1907
4,70,Batch-Impute,0.1915
4,80,Mean,0.2295
4,80,KNN,0.2155
4,80,MICE,0.2224
4,80,OT-Impute,0.2303
4,80,OT-Rand,0.2064
4,80,Batch-Impute,0.1961
