MissingRate,OT-Impute,OT-Rand,Batch-Impute,BatchOpt-Impute
10,0.10810135196612089,0.0924365245124817,0.08609710934494595,0.08838027013168864
20,0.10591442084040079,0.09580173251791498,0.09452043953121678,0.09391820508427215
30,0.12023141979108912,0.10866196680546734,0.10181226878902494,0.10667775503890689
40,0.12990651144769877,0.11761217845931944,0.11062718735205886,0.11679363488311792
50,0.14673129865851767,0.13193943887464255,0.1278281362102451,0.1399753020911723
60,0.18019581017145928,0.16313138736876628,0.15296805876515254,0.1674322292610968
70,0.22095580494317107,0.19899913034612607,0.18554617824283104,0.19911486693329095
80,0.2340086341328142,0.2111767269900723,0.1966367232498207,0.20230465324967722
