Run,MissingRate(%),Method,MAE
3,80,Batch-Impute,0.1089
4,10,Mean,0.1194
4,10,KNN,0.1081
4,10,MICE,0.1019
4,10,OT-Impute,0.1105
4,10,OT-Rand,0.1001
4,10,Batch-Impute,0.0871
4,20,Mean,0.1213
4,20,KNN,0.1083
4,20,MICE,0.1015
4,20,OT-Impute,0.1084
4,20,OT-Rand,0.0981
4,20,Batch-Impute,0.0827
4,30,Mean,0.1213
4,30,KNN,0.1215
4,30,MICE,0.1263
4,30,OT-Impute,0.1192
4,30,OT-Rand,0.1029
4,30,Batch-Impute,0.0934
4,40,Mean,0.1254
4,40,KNN,0.1288
4,40,MICE,0.1313
4,40,OT-Impute,0.1223
4,40,OT-Rand,0.1109
4,40,Batch-Impute,0.0968
4,50,Mean,0.1233
4,50,KNN,0.1262
4,50,MICE,0.1309
4,50,OT-Impute,0.1247
4,50,OT-Rand,0.1096
4,50,Batch-Impute,0.0982
4,60,Mean,0.1236
4,60,KNN,0.1269
4,60,MICE,0.1237
4,60,OT-Impute,0.1282
4,60,OT-Rand,0.1165
4,60,Batch-Impute,0.1022
4,70,Mean,0.1233
4,70,KNN,0.1251
4,70,MICE,0.1252
4,70,OT-Impute,0.1308
4,70,OT-Rand,0.1177
4,70,Batch-Impute,0.1032
4,80,Mean,0.1219
4,80,KNN,0.1258
4,80,MICE,0.1204
4,80,OT-Impute,0.1313
4,80,OT-Rand,0.1185
4,80,Batch-Impute,0.1056
